Encuesta;Fecha;Mes;Pais de procedencia;Ciudad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo
1;2019-02-09;Febrero;Francia;Sicilia;Extranjero;N/A;Europa;Masculino;27;21-45 años;Cultural;N/A;Francés;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches
2;2019-02-09;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;56;Mas de 45 años;Negocios;N/A;Español;N/A;Otros;N/A;Aéreo;365;Mas de 10 Noches
3;2019-02-09;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
4;2019-02-09;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;22;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
5;2019-02-09;Febrero;Colombia;Palmira;Nacional;Occidente;N/A;Femenino;22;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Otros;N/A;N/A;N/A;N/A
6;2019-02-09;Febrero;Chile;Teruco;Extranjero;N/A;America latina;Masculino;23;21-45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;9;7-10 Noches
7;2019-02-09;Febrero;Colombia;Palmira;Nacional;Occidente;N/A;Femenino;22;21-45 años;Cultural;N/A;Español;N/A;Otros;N/A;N/A;N/A;N/A
8;2019-02-09;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;21;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
9;2019-02-10;Febrero;Perú;Lima;Extranjero;N/A;America latina;Masculino;41;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;4;4-6 Noches
10;2019-02-10;Febrero;Alemania;Frankfurt;Extranjero;N/A;Europa;Masculino;56;Mas de 45 años;Cultural;N/A;Alemán;N/A;Otros;N/A;Aéreo;3;2-3 Noches
11;2019-02-11;Febrero;Colombia;Medellín;Nacional;Centro;N/A;Masculino;32;21-45 años;Negocios;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches
12;2019-02-11;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;59;Mas de 45 años;Cultural;N/A;Español;N/A;Otros;N/A;Terrestre público;365;Mas de 10 Noches
13;2019-02-11;Febrero;Colombia;Barranquilla;Nacional;Norte;N/A;Femenino;38;21-45 años;Cultural;N/A;Español;N/A;Otros;N/A;Terrestre público;3;2-3 Noches
14;2019-02-11;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;31;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;3;2-3 Noches
15;2019-02-11;Febrero;Alemania;No responde;Extranjero;N/A;Europa;Femenino;29;21-45 años;Cultural;N/A;Alemán;N/A;Hostal;N/A;Aéreo;2;2-3 Noches
16;2019-02-11;Febrero;Francia;No responde;Extranjero;N/A;Europa;Femenino;29;21-45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;2;2-3 Noches
17;2019-02-11;Febrero;Colombia;Pasto;Nacional;Sur;N/A;Masculino;31;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches
18;2019-02-11;Febrero;Colombia;Neiva;Nacional;Centro;N/A;Masculino;38;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches
19;2019-02-11;Febrero;Colombia;Neiva;Nacional;Centro;N/A;Femenino;30;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches
20;2019-02-12;Febrero;Colombia;Cartagena;Nacional;Norte;N/A;Masculino;45;21-45 años;Otros;Evento Deportivo;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;15;Mas de 10 Noches
21;2019-02-12;Febrero;Colombia;Bucaramanga;Nacional;Centro;N/A;Femenino;22;21-45 años;Negocios;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;4;4-6 Noches
22;2019-02-12;Febrero;Estados Unidos;Middletown;Extranjero;N/A;Norteamerica;Masculino;27;21-45 años;Recreacional o vacacional;N/A;Inglés;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
23;2019-02-12;Febrero;Colombia;Medellín;Nacional;Centro;N/A;Masculino;32;21-45 años;Negocios;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches
24;2019-02-12;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;75;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
25;2019-02-12;Febrero;Francia;Tolouse;Extranjero;N/A;Europa;Masculino;33;21-45 años;Cultural;N/A;Francés;N/A;Hotel;N/A;Aéreo;8;7-10 Noches
26;2019-02-12;Febrero;Estados Unidos;New York;Extranjero;N/A;Norteamerica;Femenino;29;21-45 años;Cultural;N/A;Inglés;N/A;Vivienda familiar o amigos;N/A;Aéreo;5;4-6 Noches
27;2019-02-12;Febrero;Chile;Santiago de Chile;Extranjero;N/A;America latina;Masculino;29;21-45 años;Educación y/o Formación;N/A;Español;N/A;Vivienda turística;N/A;Aéreo;4;4-6 Noches
28;2019-02-12;Febrero;Estados Unidos;Los Angeles;Extranjero;N/A;Norteamerica;Femenino;57;Mas de 45 años;Recreacional o vacacional;N/A;Inglés;N/A;Vivienda familiar o amigos;N/A;Aéreo;5;4-6 Noches
29;2019-02-12;Febrero;Bélgica;Amberes;Extranjero;N/A;Europa;Femenino;24;21-45 años;Cultural;N/A;Alemán;N/A;Otros;N/A;Aéreo;4;4-6 Noches
30;2019-02-12;Febrero;Ecuador;Loja;Extranjero;N/A;America latina;Masculino;25;21-45 años;Educación y/o Formación;N/A;Español;N/A;Vivienda turística;N/A;Terrestre público;4;4-6 Noches
31;2019-02-12;Febrero;España;Barcelona;Extranjero;N/A;Europa;Femenino;32;21-45 años;Educación y/o Formación;N/A;Español;N/A;Vivienda turística;N/A;Aéreo;N/A;N/A
32;2019-02-13;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;34;21-45 años;Visita parientes o amigos;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre particular;N/A;N/A
33;2019-02-13;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;31;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
34;2019-02-13;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;31;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
35;2019-02-13;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;24;21-45 años;Educación y/o Formación;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;N/A;N/A
36;2019-02-13;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;34;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
37;2019-02-13;Febrero;Colombia;Floridablanca;Nacional;Centro;N/A;Masculino;34;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Otros;N/A;Aéreo;2;2-3 Noches
38;2019-02-13;Febrero;Colombia;Medellín;Nacional;Centro;N/A;Femenino;22;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Terrestre público;N/A;N/A
39;2019-02-13;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;31;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
40;2019-02-13;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;24;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;2;2-3 Noches
41;2019-02-13;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;31;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;4;4-6 Noches
42;2019-02-13;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;24;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches
43;2019-02-13;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;24;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Terrestre público;4;4-6 Noches
44;2019-02-13;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;42;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
45;2019-02-13;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;69;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
46;2019-02-13;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;68;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
47;2019-02-13;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;37;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
48;2019-02-14;Febrero;Alemania;Colonia;Extranjero;N/A;Europa;Femenino;33;21-45 años;Cultural;N/A;Alemán;N/A;Hostal;N/A;Aéreo;4;4-6 Noches
49;2019-02-14;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;57;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
50;2019-02-15;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
51;2019-02-15;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
52;2019-02-15;Febrero;Alemania;No responde;Extranjero;N/A;Europa;Femenino;49;Mas de 45 años;Educación y/o Formación;N/A;Alemán;N/A;Alojamiento rural;N/A;Aéreo;45;Mas de 10 Noches
53;2019-02-15;Febrero;Colombia;Roldanillo;Nacional;Occidente;N/A;Masculino;63;Mas de 45 años;Educación y/o Formación;N/A;Español;N/A;Otros;N/A;Terrestre particular;N/A;N/A
54;2019-02-15;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;42;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
55;2019-02-15;Febrero;Colombia;Palmira;Nacional;Occidente;N/A;Femenino;14;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;No responde;N/A;N/A;N/A;N/A
56;2019-02-15;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;23;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
57;2019-02-15;Febrero;Colombia;Ginebra;Nacional;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;No responde;N/A;N/A;N/A;N/A
58;2019-02-15;Febrero;Colombia;Jamundí;Nacional;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Vivienda familiar o amigos;N/A;N/A;N/A;N/A
59;2019-02-15;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;19;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
60;2019-02-15;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;17;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
61;2019-02-16;Febrero;Alemania;Colonia;Extranjero;N/A;Europa;Femenino;33;21-45 años;Cultural;N/A;Alemán;N/A;Hostal;N/A;Aéreo;4;4-6 Noches
62;2019-02-16;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;57;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
63;2019-02-16;Febrero;Francia;Tolouse;Extranjero;N/A;Europa;Masculino;33;21-45 años;Cultural;N/A;Francés;N/A;Vivienda familiar o amigos;N/A;Aéreo;4;4-6 Noches
64;2019-02-16;Febrero;Francia;Tolouse;Extranjero;N/A;Europa;Femenino;34;21-45 años;Cultural;N/A;Francés;N/A;Vivienda familiar o amigos;N/A;Aéreo;4;4-6 Noches
65;2019-02-16;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;34;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
66;2019-02-16;Febrero;Alemania;Berlín;Extranjero;N/A;Europa;Masculino;59;Mas de 45 años;Cultural;N/A;Alemán;N/A;Vivienda familiar o amigos;N/A;Aéreo;15;Mas de 10 Noches
67;2019-02-16;Febrero;Colombia;Medellín;Nacional;Centro;N/A;Masculino;65;Mas de 45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Terrestre público;2;2-3 Noches
68;2019-02-16;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;40;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
69;2019-02-16;Febrero;Canada;Toronto;Extranjero;N/A;Norteamerica;Masculino;56;Mas de 45 años;Cultural;N/A;Inglés;N/A;Vivienda familiar o amigos;N/A;Aéreo;3;2-3 Noches
70;2019-02-16;Febrero;Francia;Bordeaux;Extranjero;N/A;Europa;Masculino;65;Mas de 45 años;Cultural;N/A;Francés;N/A;Hotel;N/A;Aéreo;4;4-6 Noches
71;2019-02-16;Febrero;Francia;Paris;Extranjero;N/A;Europa;Masculino;62;Mas de 45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;2;2-3 Noches
72;2019-02-16;Febrero;Francia;Paris;Extranjero;N/A;Europa;Femenino;72;Mas de 45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;2;2-3 Noches
73;2019-02-16;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;39;21-45 años;Cultural;N/A;Español;N/A;Hotel;N/A;Aéreo;3;2-3 Noches
74;2019-02-19;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;27;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
75;2019-02-19;Febrero;Argentina;Buenos Aires;Extranjero;N/A;America latina;Masculino;32;21-45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Aéreo;2;2-3 Noches
76;2019-02-19;Febrero;Francia;Valence;Extranjero;N/A;Europa;Masculino;72;Mas de 45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;4;4-6 Noches
77;2019-02-19;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;56;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
78;2019-02-19;Febrero;Estados Unidos;Miami;Extranjero;N/A;Norteamerica;Femenino;56;Mas de 45 años;Cultural;N/A;Inglés;N/A;Hostal;N/A;Aéreo;15;Mas de 10 Noches
79;2019-02-19;Febrero;Portugal;Lisboa;Extranjero;N/A;Europa;Masculino;36;21-45 años;Cultural;N/A;Portugués;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
80;2019-02-19;Febrero;Francia;Nimes;Extranjero;N/A;Europa;Femenino;55;Mas de 45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;1;1 Noche
81;2019-02-19;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;41;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
82;2019-02-20;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;17;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
83;2019-02-20;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
84;2019-02-20;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;21;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
85;2019-02-20;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;22;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
86;2019-02-20;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;26;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
87;2019-02-20;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;27;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
88;2019-02-20;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;18;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
89;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;16;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
90;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;28;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
91;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;25;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
92;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;22;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
93;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
94;2019-02-21;Febrero;Cuba;Cienfuegos;Extranjero;N/A;America latina;Masculino;56;Mas de 45 años;Cultural;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;365;Mas de 10 Noches
95;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;38;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
96;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;39;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
97;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;40;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
98;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;54;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
99;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;27;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
100;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;34;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
101;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;31;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
102;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;38;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
103;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;33;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
104;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;21;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
105;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;29;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
106;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
107;2019-02-21;Febrero;Colombia;cali;Local;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
108;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;24;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
109;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Masculino;32;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
110;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;21;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
111;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;28;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
112;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
113;2019-02-21;Febrero;Colombia;Cali;Local;Occidente;N/A;Femenino;20;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
114;2019-02-21;Febrero;Colombia;Bucaramanga;Nacional;Centro;N/A;Femenino;26;21-45 años;Educación y/o Formación;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;365;Mas de 10 Noches
115;2019-02-21;Febrero;Colombia;Manizales;Nacional;Centro;N/A;Masculino;35;21-45 años;Cultural;N/A;Español;N/A;Hostal;N/A;Terrestre público;3;2-3 Noches
116;2019-02-21;Febrero;Francia;Bayome;Extranjero;N/A;Europa;Femenino;27;21-45 años;Cultural;N/A;Francés;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
117;2019-02-21;Febrero;Bélgica;Brucelas;Extranjero;N/A;Europa;Femenino;20;0 - 20 años;Cultural;N/A;Alemán;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
118;2019-02-22;Febrero;Colombia;Inza;Nacional;Occidente;N/A;Masculino;36;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Terrestre público;15;Mas de 10 Noches
119;2019-02-22;Febrero;Francia;Paris;Extranjero;N/A;Europa;Femenino;26;21-45 años;Recreacional o vacacional;N/A;Francés;N/A;Hostal;N/A;Aéreo;4;4-6 Noches
120;2019-02-22;Febrero;Irlanda;Dublin;Extranjero;N/A;Europa;Femenino;31;21-45 años;Recreacional o vacacional;N/A;Inglés;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
121;2019-02-22;Febrero;Chile;No responde;Extranjero;N/A;America latina;Femenino;54;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;15;Mas de 10 Noches
122;2019-02-22;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;22;21-45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
123;2019-02-22;Febrero;Colombia;Tuluá;Nacional;Occidente;N/A;Masculino;18;0 - 20 años;Salud;N/A;Español;N/A;Otros;N/A;Terrestre público;1;1 Noche
124;2019-02-22;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Femenino;35;21-45 años;Negocios;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
125;2019-02-22;Febrero;España;Barcelona;Extranjero;N/A;Europa;Femenino;34;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Vivienda familiar o amigos;N/A;Aéreo;4;4-6 Noches
126;2019-02-22;Febrero;España;Sevilla;Extranjero;N/A;Europa;Femenino;35;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
127;2019-02-22;Febrero;Argentina;Entrerrios Colón;Extranjero;N/A;America latina;Masculino;51;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Otros;N/A;Aéreo;N/A;N/A
128;2019-02-22;Febrero;México;Oaxaca;Extranjero;N/A;Norteamerica;Masculino;37;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Hostal;N/A;Aéreo;3;2-3 Noches
129;2019-02-23;Febrero;Colombia;Bogotá;Nacional;Centro;N/A;Masculino;60;Mas de 45 años;Recreacional o vacacional;N/A;Español;N/A;Hotel;N/A;Aéreo;2;2-3 Noches
130;2019-03-01;Marzo;Estados Unidos;New jersey;Extranjero;N/A;Norteamerica;Masculino;59;Mas de 45 años;Recreacional o vacacional;N/A;Inglés;N/A;Alojamiento rural;N/A;Aéreo;68;Mas de 10 Noches
131;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Masculino;46;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
132;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Femenino;32;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
133;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Masculino;45;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
134;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Masculino;49;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
135;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Masculino;71;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
136;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Masculino;52;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
137;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Femenino;28;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
138;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Masculino;45;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
139;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Femenino;38;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
140;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Femenino;39;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
141;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Masculino;53;Mas de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
142;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Masculino;45;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
143;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Femenino;23;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
144;2019-03-05;Marzo;Colombia;Cali;Local;Occidente;N/A;Femenino;44;21-45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A
145;2019-03-05;Marzo;Venezuela;Mérida;Extranjero;N/A;America latina;Masculino;22;21-45 años;Recreacional o vacacional;N/A;Español;N/A;Otros;N/A;No responde;N/A;N/A
