Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedencia- Visitantes nacionales,Zona procedencia- Visitantes internacionales,Sexo,Edad,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Tiempo de estancia,Rango de Tiempo de estancia
950,06/29/2017,Junio,Colombia,Villavicencio,Nacional,Centro,N/A,Masculino,28,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,4,4 - 6 Noches
951,06/29/2017,Junio,Colombia,Villavicencio,Nacional,Centro,N/A,Femenino,30,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,4,4 - 6 Noches
952,06/29/2017,Junio,Colombia,Villavicencio,Nacional,Centro,N/A,Masculino,32,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,4,4 - 6 Noches
953,06/29/2017,Junio,Colombia,Villavicencio,Nacional,Centro,N/A,Masculino,60,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,4,4 - 6 Noches
954,06/29/2017,Junio,Venezuela,No responde,Extranjero,N/A,America Latina,Masculino,24,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,,No responde
955,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,32,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
956,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,56,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
957,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,30,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
958,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,31,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
959,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,20,0-20 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
960,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,20,0-20 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
961,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,35,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
962,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,28,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
963,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,21,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
964,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,24,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
965,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,26,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
966,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,80,Más de 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
967,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Masculino,24,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
968,06/29/2017,Junio,Colombia,Cali,Local,Occidente,N/A,Femenino,22,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
969,06/29/2017,Junio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,52,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,5,4 - 6 Noches
970,06/29/2017,Junio,Ecuador,No responde,Extranjero,N/A,America Latina,Masculino,25,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,10,7 - 10 Noches
971,06/29/2017,Junio,Ecuador,No responde,Extranjero,N/A,America Latina,Masculino,18,0-20 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,10,7 - 10 Noches
