Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedencia- Visitantes nacionales,Zona procedencia- Visitantes internacionales,Sexo,Edad,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Tiempo de estancia,Rango de Tiempo de estancia
1051,07/01/2017,Julio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,23,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda turistica,N/A,Terrestre público,3,2 - 3 Noches
1052,07/01/2017,Julio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,21,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda turistica,N/A,Terrestre público,3,2 - 3 Noches
1053,07/01/2017,Julio,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,22,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda turistica,N/A,Terrestre público,3,2 - 3 Noches
1054,07/01/2017,Julio,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,22,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda turistica,N/A,Terrestre público,3,2 - 3 Noches
1055,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Femenino,33,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1056,07/01/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Femenino,32,21 - 45 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
1057,07/01/2017,Julio,Colombia,Tumaco,Nacional,Occidente,N/A,Femenino,42,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,1,1 Noche
1058,07/01/2017,Julio,Francia,Paris,Extranjero,N/A,Europa,Masculino,29,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,8,7 - 10 Noches
1059,07/01/2017,Julio,Francia,Paris,Extranjero,N/A,Europa,Femenino,34,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,8,7 - 10 Noches
1060,07/02/2017,Julio,Colombia,Cali,Local,Occidente,N/A,Femenino,15,0-20 años,Otros,Información de ciudad,Español,N/A,Reside,N/A,N/A,,N/A
