Encuesta;Fecha;Mes;Pais de Procedencia;Cuidad;Procedencia;Zona de procedencia-Visitantes  nacionales;Zona de procedencia- Visitantes internacionales;Sexo;Edad;Edad rangos;Motivo Viaje;Otro motivo de viaje o consulta PIT-Cual?;Idioma;Otro idioma Cual?;Alojamiento;Otro alojamiento Cual?;Tipo de transporte;Tiempo de estancia;Rango de Tiempo de estancia;;;;;;;;;;
11;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;33;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
12;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;37;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
13;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;40;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
14;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;73;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
15;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;59;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
16;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;48;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
17;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;50;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
18;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;54;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
19;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;44;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
20;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;59;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
21;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;48;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
22;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;43;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
23;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;19;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
24;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;40;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
25;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;29;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
26;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;17;0 - 20 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
27;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;22;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
28;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;25;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
29;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;35;21 a 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
30;2018-01-12;Enero;Suecia;Norrkoping;Extranjero;N/A;Europa;Masculino;67;Más de 45 años;Turismo rural;N/A;Otro;Sueco;Hotel;N/A;Aéreo;15;Mas de 10 Noches;;;;;;;;;;
31;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;65;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
32;2018-01-12;Enero;Suecia;Norrkoping;Extranjero;N/A;Europa;Femenino;67;Más de 45 años;Turismo rural;N/A;Otro;Sueco;Hotel;N/A;Aéreo;15;Mas de 10 Noches;;;;;;;;;;
33;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;65;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
34;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Masculino;65;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
35;2018-01-12;Enero;Colombia;Cali;Local;Occidente;N/A;Femenino;65;Más de 45 años;Otros;Informacion de Ciudad;Español;N/A;Reside;N/A;N/A;N/A;N/A;;;;;;;;;;
