Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedencia- Visitantes nacionales,Zona procedencia- Visitantes internacionales,Sexo,Edad,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Tiempo de estancia,Rango de Tiempo de estancia
43,01/02/2016,Febrero,Chile,Santiago,Extranjero,N/A,America Latina,Masculino,31,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,3,2 -3 Noches
44,01/02/2016,Febrero,Francia,Toulouse,Extranjero,N/A,Europa,Femenino,32,21 - 45 años,Recreacional o vacacional,N/A,Francés,N/A,Hostal,N/A,Terrestre público,90,Más de 10 Noches
45,01/02/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Femenino,21,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,30,Más de 10 Noches
46,02/02/2016,Febrero,Finlandia,Helsinki,Extranjero,N/A,Europa,Masculino,59,Más de 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Aéreo,8,7 a 10 Noches
47,02/02/2016,Febrero,Chile,Santiago,Extranjero,N/A,America Latina,Femenino,35,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,2,2 -3 Noches
48,02/02/2016,Febrero,Perú,Lima,Extranjero,N/A,America Latina,Femenino,29,21 - 45 años,Visita parientes o amigos,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,16,Más de 10 Noches
49,03/02/2016,Febrero,Irlanda,No responde,Extranjero,N/A,Europa,Femenino,72,Más de 45 años,Cultural,N/A,Otro,Irlandes,Hotel,N/A,Aéreo,4,4 a 6 Noches
50,03/02/2016,Febrero,Suiza,Lausanne,Extranjero,N/A,Europa,Femenino,25,21 - 45 años,Recreacional o vacacional,N/A,Inglés,N/A,Otros,Casa rodante,Terrestre particular,4,4 a 6 Noches
51,03/02/2016,Febrero,Suiza,Lausanne,Extranjero,N/A,Europa,Masculino,25,21 - 45 años,Recreacional o vacacional,N/A,Inglés,N/A,Hotel,Casa rodante,Terrestre particular,4,4 a 6 Noches
52,03/02/2016,Febrero,México,Guadalajara,Extranjero,N/A,America Latina,Masculino,32,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,4,4 a 6 Noches
53,03/02/2016,Febrero,México,Guadalajara,Extranjero,N/A,America Latina,Femenino,32,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,4,4 a 6 Noches
54,03/02/2016,Febrero,México,México,Extranjero,N/A,America Latina,Femenino,22,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,4,4 a 6 Noches
55,04/02/2016,Febrero,Bélgica,No responde,Extranjero,N/A,Europa,Femenino,48,Más de 45 años,Cultural,N/A,Otro,neerlandés,Hostal,N/A,Aéreo,4,4 a 6 Noches
56,04/02/2016,Febrero,Alemania,Hamburgo,Extranjero,N/A,Europa,Masculino,29,21 - 45 años,Cultural,N/A,Alemán,N/A,Hotel,N/A,Terrestre público,5,4 a 6 Noches
57,04/02/2016,Febrero,Alemania,Berlín,Extranjero,N/A,Europa,Femenino,26,21 - 45 años,Cultural,N/A,Alemán,N/A,Hotel,N/A,Terrestre público,5,4 a 6 Noches
58,04/02/2016,Febrero,Grecia,Chipre,Extranjero,N/A,Europa,Masculino,29,21 - 45 años,Cultural,N/A,Otro,Griego,Hostal,N/A,Aéreo,5,4 a 6 Noches
59,04/02/2016,Febrero,Argelia,No responde,Extranjero,N/A,Africa,Masculino,27,21 - 45 años,Cultural,N/A,Otro,Arabe,Hostal,N/A,Aéreo,3,2 -3 Noches
60,04/02/2016,Febrero,Ecuador,No responde,Extranjero,N/A,America Latina,Femenino,38,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,28,Más de 10 Noches
61,08/02/2016,Febrero,Suiza,Ginebra,Extranjero,N/A,Europa,Femenino,77,Más de 45 años,Cultural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,2,2 -3 Noches
62,08/02/2016,Febrero,Argentina,Mendoza,Extranjero,N/A,america Latina,masculino,23,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
63,08/02/2016,Febrero,China,No responde,Extranjero,N/A,Asia,Masculino,28,21 - 45 años,Cultural,N/A,Otro,Mandarin,Hotel,N/A,Aéreo,4,4 a 6 Noches
64,08/02/2016,Febrero,Argentina,Cordoba,Extranjero,N/A,America Latina,Masculino,24,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
65,08/02/2016,Febrero,Alemania,Teltow,Extranjero,N/A,Europa,Masculino,56,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,2,2 -3 Noches
66,08/02/2016,Febrero,España,Oviedo,Extranjero,N/A,Europa,Masculino,39,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,45,Más de 10 Noches
67,08/02/2016,Febrero,México,Guanajuato,Extranjero,N/A,America Latina,Femenino,30,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,1,1 Noche
68,10/02/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Masculino,32,21 - 45 años,Otros motivos,Consulta Punto de Información - San cipriano,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
69,10/02/2016,Febrero,Canadá,Ottawa,Extranjero,N/A,Europa,Masculino,26,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,4,4 a 6 Noches
70,10/02/2016,Febrero,Francia,Niza,Extranjero,N/A,Europa,Masculino,40,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
71,10/02/2016,Febrero,Finlandia,No responde,Extranjero,N/A,Europa,Masculino,22,21 - 45 años,Cultural,N/A,Otro,Finlandes,Hostal,N/A,Terrestre público,1,1 Noche
72,10/02/2016,Febrero,Chile,Valparaiso,Extranjero,N/A,America Latina,Masculino,24,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,3,2 -3 Noches
73,10/02/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,66,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
74,10/02/2016,Febrero,Alemania,No responde,Extranjero,N/A,Europa,Femenino,29,21 - 45 años,Cultural,N/A,Alemán,N/A,Vivienda familiar o amigos,N/A,Terrestre público,10,7 a 10 Noches
75,11/02/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,23,21 - 45 años,Turismo rural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
76,11/02/2016,Febrero,España,Madrid,Extranjero,N/A,Europa,Masculino,52,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,8,7 a 10 Noches
77,11/02/2016,Febrero,Alemania,Munich,Extranjero,N/A,Europa,Masculino,60,Más de 45 años,Cultural,N/A,Alemán,N/A,Vivienda familiar o amigos,N/A,Terrestre público,5,4 a 6 Noches
78,11/02/2016,Febrero,Venezuela,Tachira,Extranjero,N/A,America Latina,Femenino,31,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
79,11/02/2016,Febrero,Venezuela,Tachira,Extranjero,N/A,America Latina,Femenino,33,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
80,11/02/2016,Febrero,Francia,Roma,Extranjero,N/A,Europa,Masculino,53,Más de 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,1,1 Noche
81,12/02/2016,Febrero,Colombia,Palmira,Nacional,Occidente,N/A,Masculino,26,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,30,Más de 10 Noches
82,12/02/2016,Febrero,Francia,Reims,Extranjero,N/A,Europa,Masculino,21,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
83,12/02/2016,Febrero,Francia,Estrasburgo,Extranjero,N/A,Europa,Masculino,22,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
84,12/02/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,30,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
85,12/02/2016,Febrero,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,30,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,5,4 a 6 Noches
86,12/02/2016,Febrero,Colombia,Lorica,Nacional,Norte,N/A,Femenino,26,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,5,4 a 6 Noches
87,12/02/2016,Febrero,Noruega,Trondheim,Extranjero,N/A,Europa,Femenino,22,21 - 45 años,Cultural,N/A,Otro,Noruego,Hostal,N/A,Terrestre público,2,2 -3 Noches
88,12/02/2016,Febrero,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,22,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
89,12/02/2016,Febrero,Ecuador,Quito,Extranjero,N/A,America Latina,Masculino,28,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
90,02/13/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,28,21 - 45 años,Otros motivos,Consulta Punto de Información - Información turistica,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
91,02/13/2016,Febrero,España,Alicante,Extranjero,N/A,Europa,Masculino,45,21 - 45 años,Negocios y motivos profesionales,N/A,Español,N/A,Hotel,N/A,Aéreo,2,2 -3 Noches
92,02/13/2016,Febrero,España,Barcelona,Extranjero,N/A,Europa,Masculino,49,Más de 45 años,Negocios y motivos profesionales,N/A,Español,N/A,Hotel,N/A,Aéreo,2,2 -3 Noches
93,02/13/2016,Febrero,España,Valencia,Extranjero,N/A,Europa,Masculino,43,21 - 45 años,Negocios y motivos profesionales,N/A,Español,N/A,Hotel,N/A,Aéreo,2,2 -3 Noches
94,02/14/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Masculino,26,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,5,4 a 6 Noches
95,02/14/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Femenino,24,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
96,02/14/2016,Febrero,Argentina,Rosario,Extranjero,N/A,America Latina,Masculino,27,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
97,02/14/2016,Febrero,Suecia,Ronneby,Extranjero,N/A,Europa,Femenino,31,21 - 45 años,Cultural,N/A,Otro,Sueco,Vivienda familiar o amigos,N/A,Terrestre público,2,2 -3 Noches
98,02/14/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Masculino,33,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
99,02/14/2016,Febrero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,33,21 - 45 años,Otros motivos,Consulta Punto de Información - Información turistica,Español,N/A,No responde,N/A,No responde,N/A,N/A
100,02/14/2016,Febrero,Colombia,Pereira,Nacional,Centro,N/A,Masculino,35,21 - 45 años,Otros motivos,Consulta Punto de Información - Información turistica,Español,N/A,Vivienda familiar o amigos,N/A,No responde,3,2 -3 Noches
101,02/16/2016,Febrero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,63,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,6,4 a 6 Noches
102,02/16/2016,Febrero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,36,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A,N/A
103,02/16/2016,Febrero,Holanda,Ámsterdam,Extranjero,N/A,Europa,Femenino,36,21 - 45 años,Cultural,N/A,Otro,Holandes,Hostal,N/A,Terrestre público,3,2 -3 Noches
104,02/17/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,24,21 - 45 años,Educación y/o Formación,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
105,02/17/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,28,21 - 45 años,Educación y/o Formación,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
106,02/17/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Masculino,38,21 - 45 años,Educación y/o Formación,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
107,02/17/2016,Febrero,Francia,Paris,Extranjero,N/A,Europa,Masculino,26,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
108,02/17/2016,Febrero,Francia,Hendaya,Extranjero,N/A,Europa,Femenino,24,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
109,02/17/2016,Febrero,Suiza,Zúrich,Extranjero,N/A,Europa,Masculino,38,21 - 45 años,Cultural,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Terrestre público,5,4 a 6 Noches
110,02/18/2016,Febrero,Francia,Lyon,Extranjero,N/A,Europa,Femenino,30,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
111,02/18/2016,Febrero,Francia,Lyon,Extranjero,N/A,Europa,Femenino,28,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
112,02/18/2016,Febrero,Francia,Lyon,Extranjero,N/A,Europa,masculino,31,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
113,02/18/2016,Febrero,España,Madrid,Extranjero,N/A,Europa,Masculino,35,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,3,2 -3 Noches
114,02/20/2016,Febrero,Colombia,Medellín,Nacional,Centro,N/A,Masculino,23,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,2,2 -3 Noches
115,02/20/2016,Febrero,Colombia,Medellín,Nacional,Centro,N/A,Femenino,20,0 - 20 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,2,2 -3 Noches
116,02/19/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,60,Más de 45 años,Turismo rural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
117,02/19/2016,Febrero,Chile,Santiago,Extranjero,N/A,America Latina,Masculino,34,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre particular,8,7 a 10 Noches
118,02/22/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,21,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
119,02/22/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,31,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
120,02/22/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,30,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
121,02/22/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Masculino,33,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
122,02/22/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Masculino,30,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
123,02/22/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Femenino,22,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
124,02/22/2016,Febrero,Colombia,Cali,Local,Occidente,N/A,Masculino,27,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
125,02/22/2016,Febrero,Colombia,Medellín,Nacional,Centro,N/A,Masculino,29,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,15,Más de 10 Noches
126,02/22/2016,Febrero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,26,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,1,1 Noche
127,02/22/2016,Febrero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,25,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,1,1 Noche
128,02/22/2016,Febrero,Inglaterra,Newcastle,Extranjero,N/A,Europa,Masculino,64,Más de 45 años,Cultural,N/A,Alemán,N/A,Vivienda familiar o amigos,N/A,Aéreo,2,2 -3 Noches
129,02/22/2016,Febrero,Colombia,Barranquilla,Nacional,Norte,N/A,Masculino,31,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,4,4 a 6 Noches
130,02/22/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Femenino,22,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,7,7 a 10 Noches
131,02/22/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Femenino,22,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,7,7 a 10 Noches
132,02/22/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Femenino,21,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,7,7 a 10 Noches
133,02/25/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Femenino,22,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
134,02/25/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Masculino,23,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
135,02/25/2016,Febrero,Chile,Rancagua,Extranjero,N/A,America Latina,Masculino,31,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,4,4 a 6 Noches
136,02/25/2016,Febrero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Masculino,22,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,6,4 a 6 Noches
