Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedencia- Visitantes nacionales,Zona procedencia- Visitantes internacionales,Sexo,Edad,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Tiempo de estancia,Rango de Tiempo de estancia
1,04/01/2016,Enero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,48,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,5,4 a 6 Noches
2,04/01/2016,Enero,Holanda,Ámsterdam,Extranjero,N/A,Europa,Femenino,-,N/A,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre particular,2,2 -3 Noches
3,04/01/2016,Enero,No responde,No responde,No responde,N/A,N/A,Femenino,-,N/A,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,5,4 a 6 Noches
4,04/01/2016,Enero,España,Alicante,Extranjero,N/A,Europa,Masculino,22,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,4,4 a 6 Noches
5,05/01/2016,Enero,No responde,No responde,No responde,N/A,N/A,Femenino,-,N/A,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A,N/A
6,05/01/2016,Enero,México,México,Extranjero,N/A,America Latina,Masculino,23,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,5,4 a 6 Noches
7,05/01/2016,Enero,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,-,N/A,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,8,7 a 10 Noches
8,05/01/2016,Enero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,28,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,9,7 a 10 Noches
9,05/01/2016,Enero,Colombia,Cali,Local,Occidente,N/A,Femenino,70,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
10,05/01/2016,Enero,Colombia,Medellín,Nacional,Centro,N/A,Masculino,40,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,2,2 -3 Noches
11,06/01/2016,Enero,Colombia,Cali,Local,Occidente,N/A,Masculino,32,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
12,06/01/2016,Enero,Colombia,Bogotá,Nacional,Centro,N/A,Masculino,29,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,2,2 -3 Noches
13,12/01/2016,Enero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,31,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,20,Más de 10 Noches
14,12/01/2016,Enero,Colombia,Medellín,Nacional,Centro,N/A,Femenino,-,N/A,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,7,7 a 10 Noches
15,12/01/2016,Enero,No responde,No responde,No responde,N/A,N/A,Masculino,57,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A,N/A
16,12/01/2016,Enero,Ecuador,Manta,Extranjero,N/A,America Latina,Masculino,-,N/A,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A,N/A
17,01/13/2016,Enero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Masculino,25,21 - 45 años,Turismo rural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A,N/A
18,01/13/2016,Enero,Francia,Paris,Extranjero,N/A,Europa,Femenino,35,21 - 45 años,Cultural,N/A,Francés,N/A,Vivienda familiar o amigos,N/A,Terrestre público,2,2 -3 Noches
19,01/13/2016,Enero,Estados Unidos,San Francisco,Extranjero,N/A,Norteamerica,Masculino,65,Más de 45 años,Visita parientes o amigos,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Aéreo,3,2 -3 Noches
20,01/13/2016,Enero,Estados Unidos,San Francisco,Extranjero,N/A,Norteamerica,Femenino,35,21 - 45 años,Visita parientes o amigos,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Aéreo,3,2 -3 Noches
21,01/13/2016,Enero,Chile,Santiago,Extranjero,N/A,America Latina,Femenino,58,Más de 45 años,Visita parientes o amigos,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,5,4 a 6 Noches
22,01/13/2016,Enero,Chile,Santiago,Extranjero,N/A,America Latina,Masculino,55,Más de 45 años,Visita parientes o amigos,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,5,4 a 6 Noches
23,01/14/2016,Enero,Suiza,Zúrich,Extranjero,N/A,Europa,Femenino,45,21 - 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,30,Más de 10 Noches
24,01/14/2016,Enero,Suiza,Zúrich,Extranjero,N/A,Europa,Masculino,-,N/A,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,4,4 a 6 Noches
25,01/14/2016,Enero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,-,N/A,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,30,Más de 10 Noches
26,01/14/2016,Enero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,-,N/A,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre público,1,1 Noche
27,01/14/2016,Enero,Colombia,Cali,Local,Occidente,N/A,Femenino,53,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
28,01/14/2016,Enero,Colombia,San lorenzo,Nacional,Occidente,N/A,Femenino,23,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,4,4 a 6 Noches
29,01/14/2016,Enero,No responde,No responde,No responde,N/A,N/A,Masculino,28,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
30,01/14/2016,Enero,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Femenino,55,Más de 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,2,2 -3 Noches
31,01/15/2016,Enero,Alemania,Munich,Extranjero,N/A,Europa,Femenino,20,0 - 20 años,Turismo rural,N/A,Alemán,N/A,Vivienda familiar o amigos,N/A,Terrestre público,2,2 -3 Noches
32,01/18/2016,Enero,Dinamarca,Copenhague,Extranjero,N/A,Europa,Femenino,-,N/A,Salud y atención médica,N/A,Otro,Danes,Vivienda familiar o amigos,N/A,Terrestre público,90,Más de 10 Noches
33,01/18/2016,Enero,España,Vitoria (País Vasco),Extranjero,N/A,Europa,Masculino,24,21 - 45 años,Cultural,N/A,Otro,euskera,Hostal,N/A,Terrestre público,90,Más de 10 Noches
34,01/18/2016,Enero,España,Vitoria (País Vasco),Extranjero,N/A,Europa,Masculino,24,21 - 45 años,Negocios y motivos profesionales,N/A,Otro,euskera,Hostal,N/A,Terrestre particular,180,Más de 10 Noches
35,01/18/2016,Enero,Finlandia,Helsinki,Extranjero,N/A,Europa,Femenino,28,21 - 45 años,Salud y atención médica,N/A,Otro,Finés,Vivienda familiar o amigos,N/A,Terrestre público,90,Más de 10 Noches
36,01/18/2016,Enero,Corea,No responde,Extranjero,N/A,Asia,Masculino,-,N/A,Cultural,N/A,Otro,Coreano,Hotel,N/A,Terrestre público,8,7 a 10 Noches
37,01/21/2016,Enero,Chile,Santiago,Extranjero,N/A,America Latina,Masculino,23,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
38,01/21/2016,Enero,Italia,No responde,Extranjero,N/A,Europa,Masculino,33,21 - 45 años,Recreacional o vacacional,N/A,Italiano,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
39,01/21/2016,Enero,Colombia,Bogotá,Nacional,Centro,N/A,Femenino,24,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,5,4 a 6 Noches
40,01/21/2016,Enero,Colombia,Cali,Local,Occidente,N/A,Femenino,20,0 - 20 años,Otros motivos,Consulta Punto de Información - Información turistica,Español,N/A,Vivienda propia,N/A,Reside,Reside,Reside
41,01/21/2016,Enero,España,Malaga,Extranjero,N/A,Europa,Femenino,27,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,7,7 a 10 Noches
42,01/02/2016,Febrero,Canadá,Quebec,Extranjero,N/A,Norteamerica,Femenino,23,21 - 45 años,Recreacional o vacacional,N/A,Francés,N/A,Hostal,N/A,Terrestre público,3,2 -3 Noches
