Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedendia- Visitantes nacionales,Zona procedendia- Visitantes internacionales,Sexo,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Rango de Tiempo de estancia
901,10/30/2015,Octubre,Argentina,Buenos Aires,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Visita parientes o amigos,N/A,Español,N/A,Hotel,N/A,Aéreo,4-6 Noches
902,10/30/2015,Octubre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,2-3 Noches
903,11/03/2015,Noviembre,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
904,11/03/2015,Noviembre,Francia,No responde,Extranjero,N/A,Europa,Femenino,Más de 45 años,Recreacional o vacacional,N/A,Francés,N/A,Hostal,N/A,Aéreo,N/A
905,11/03/2015,Noviembre,Francia,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Francés,N/A,Hostal,N/A,Terrestre particular,N/A
906,11/04/2015,Noviembre,Francia,Lyon,Extranjero,N/A,Europa,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
907,11/04/2015,Noviembre,España,Murcia,Extranjero,N/A,Europa,Masculino,Más de 45 años,Educación y/o Formación,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
908,11/04/2015,Noviembre,Belgica,Bruselas,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
909,11/04/2015,Noviembre,Francia,Nantes,Extranjero,N/A,Europa,Femenino,21 - 45 años,Visita parientes o amigos,N/A,Francés,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
910,11/04/2015,Noviembre,España,Valencia,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
911,11/04/2015,Noviembre,Ecuador,Quito,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Negocios,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
912,11/04/2015,Noviembre,Ecuador,Esmeralda,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
913,11/05/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Reside,N/A,Reside,Reside
914,11/05/2015,Noviembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,Más de 45 años,Educación y/o Formación,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
915,11/05/2015,Noviembre,Colombia,Cali,Local,Occidente,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
916,11/05/2015,Noviembre,Brasil,Sao Paulo,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Portugues,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,N/A
917,11/05/2015,Noviembre,Brasil,Sao Paulo,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Portugues,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,N/A
918,11/06/2015,Noviembre,Holanda,La haya,Extranjero,N/A,Europa,Masculino,Más de 45 años,Salud,N/A,Otro,Neerlandés,Hotel,N/A,Aéreo,N/A
919,11/06/2015,Noviembre,Polonia,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Salud,N/A,Otro,Polaco,Hotel,N/A,Terrestre público,N/A
920,11/06/2015,Noviembre,Suiza,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Francés,N/A,Hotel,N/A,Aéreo,N/A
