Encuesta,Fecha,Mes,País de procedencia,Cuidad,Procedencia,Zona procedendia- Visitantes nacionales,Zona procedendia- Visitantes internacionales,Sexo,Edad rangos,Motivo Viaje,Otro motivo de viaje o consulta PIT-Cual?,Idioma ,Otro idioma-Cual?,Alojamiento,Otro alojamiento-Cual?,Tipo de transporte,Rango de Tiempo de estancia
1011,12/01/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1012,12/01/2015,Diciembre,Francia,No responde,Extranjero,N/A,Europa,Femenino,21 - 45 años,Turismo rural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1013,12/01/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Femenino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Reside,N/A,Reside,Reside
1014,12/01/2015,Diciembre,España,No responde,Extranjero,N/A,Europa,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,No responde,N/A
1015,12/01/2015,Diciembre,Perú,Lima,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
1016,12/02/2015,Diciembre,México,Oaxaca,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1017,12/02/2015,Diciembre,Malasia,Kuala lumpur,Extranjero,N/A,Asia,Femenino,21 - 45 años,Turismo rural,N/A,Otro,Malayo,Hotel,N/A,Aéreo,N/A
1018,12/02/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1019,12/03/2015,Diciembre,Polonia,No responde,Extranjero,N/A,Europa,Femenino,Más de 45 años,Cultural,N/A,Otro,Polaco,Hostal,N/A,Terrestre público,N/A
1020,12/03/2015,Diciembre,Colombia,Tunja,Nacional,Centro,N/A,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1021,12/03/2015,Diciembre,Colombia,Tunja,Nacional,Centro,N/A,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1022,12/03/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Reside,N/A,Reside,Reside
1023,12/04/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
1024,12/04/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1025,12/04/2015,Diciembre,México,San Miguel,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
1026,12/04/2015,Diciembre,Argentina,Vicente Lopez,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1027,12/04/2015,Diciembre,Brasil,Santosq,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
1028,12/04/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1029,12/04/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1030,12/04/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1031,12/04/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1032,12/04/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1033,12/04/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1034,12/04/2015,Diciembre,Colombia,Tulua,Nacional,Occidente,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1035,12/07/2015,Diciembre,Inglaterra,Londres,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Aéreo,N/A
1036,12/07/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Reside,N/A,Reside,Reside
1037,12/07/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1038,12/07/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1039,12/07/2015,Diciembre,México,No responde,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
1040,12/09/2015,Diciembre,Guatemala,No responde,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1041,12/09/2015,Diciembre,Israel,Arad,Extranjero,N/A,Asia,Masculino,21 - 45 años,Cultural,N/A,Otro,Hebreo,Hotel,N/A,Aéreo,N/A
1042,12/09/2015,Diciembre,Francia,Annecy,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Francés,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
1043,12/09/2015,Diciembre,Francia,Annecy,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Francés,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
1044,12/09/2015,Diciembre,Francia,Paris,Extranjero,N/A,Europa,Masculino,21 - 45 años,Turismo rural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1045,12/09/2015,Diciembre,México,Queretaro,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1046,12/09/2015,Diciembre,Perú,Lima,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1047,12/10/2015,Diciembre,Alemania,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Alemán,N/A,Hotel,N/A,Terrestre público,N/A
1048,12/10/2015,Diciembre,Ecuador,Esmeralda,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1049,12/11/2015,Diciembre,Brasil,Sao Paulo,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Portugues,N/A,Hostal,N/A,Terrestre público,N/A
1050,12/11/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1051,12/11/2015,Diciembre,Colombia,Popayan,Nacional,Occidente,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1052,12/11/2015,Diciembre,Ecuador,Guayaquil,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1053,12/11/2015,Diciembre,México,Puebla,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1054,12/11/2015,Diciembre,México,Puebla,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1055,12/13/2015,Diciembre,Francia,Paris,Extranjero,N/A,Europa,Femenino,21 - 45 años,Turismo rural,N/A,Francés,N/A,Hostal,N/A,Aéreo,N/A
1056,12/13/2015,Diciembre,Francia,Paris,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Aéreo,N/A
1057,12/13/2015,Diciembre,USA,Ohio,Extranjero,N/A,Norteamerica,Masculino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,N/A
1058,12/14/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,0 - 20 Años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1059,12/14/2015,Diciembre,Corea del Sur,Seúl,Extranjero,N/A,Asia,Masculino,21 - 45 años,Cultural,N/A,Otro,Coreano,Hostal,N/A,Aéreo,N/A
1060,12/15/2015,Diciembre,USA,Dallas,Extranjero,N/A,Norteamerica,Masculino,Más de 45 años,Turismo rural,N/A,Inglés,N/A,Hotel,N/A,Terrestre público,N/A
1061,12/15/2015,Diciembre,España,Malaga,Extranjero,N/A,Europa,Femenino,Más de 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,N/A
1062,12/15/2015,Diciembre,Alemania,Frankfurt,Extranjero,N/A,Europa,Masculino,21 - 45 años,Turismo rural,N/A,Alemán,N/A,Hotel,N/A,Aéreo,N/A
1063,12/15/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Femenino,21 - 45 años,Otros,Consulta Punto de Información - Información turistica,Español,N/A,Reside,N/A,Reside,Reside
1064,12/15/2015,Diciembre,Canada,No responde,Extranjero,N/A,Norteamerica,Masculino,Más de 45 años,Turismo rural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,N/A
1065,12/16/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Reside,N/A,Reside,Reside
1066,12/16/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Masculino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Reside,N/A,Reside,Reside
1067,12/16/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Reside,N/A,Reside,Reside
1068,12/16/2015,Diciembre,Francia,Paris,Extranjero,N/A,Europa,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Francés,N/A,Hotel,N/A,Aéreo,N/A
1069,12/17/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Reside,N/A,Reside,Reside
1070,12/17/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1071,12/17/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Femenino,0 - 20 Años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1072,12/17/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1073,12/18/2015,Diciembre,USA,Denver,Extranjero,N/A,Norteamerica,Masculino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Aéreo,N/A
1074,12/18/2015,Diciembre,USA,No responde,Extranjero,N/A,Norteamerica,Femenino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Aéreo,N/A
1075,12/21/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,Más de 45 años,Turismo rural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1076,12/21/2015,Diciembre,España,Barcelona,Extranjero,N/A,Europa,Masculino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1077,12/21/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Masculino,0 - 20 Años,Turismo rural,N/A,Español,N/A,Reside,N/A,Reside,Reside
1078,12/21/2015,Diciembre,Francia,No responde,Extranjero,N/A,Europa,Femenino,0 - 20 Años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1079,12/21/2015,Diciembre,México,No responde,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1080,12/21/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1081,12/21/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1082,12/21/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1083,12/21/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1084,12/22/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1085,12/22/2015,Diciembre,Argentina,Cordoba,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
1086,12/22/2015,Diciembre,Francia,Bordeaux,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1087,12/22/2015,Diciembre,Italia,No responde,Extranjero,N/A,Europa,Masculino,Más de 45 años,Cultural,N/A,Italiano,N/A,Hotel,N/A,Terrestre público,N/A
1088,12/23/2015,Diciembre,Argentina,La Plata,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,N/A
1089,12/23/2015,Diciembre,Argentina,La Plata,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,N/A
1090,12/23/2015,Diciembre,USA,No responde,Extranjero,N/A,Norteamerica,Masculino,21 - 45 años,Turismo rural,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Terrestre particular,N/A
1091,12/23/2015,Diciembre,Turquia,Estambul,Extranjero,N/A,Europa,Masculino,21 - 45 años,Visita parientes o amigos,N/A,Otro,Turco,Vivienda familiar o amigos,N/A,Aéreo,N/A
1092,12/24/2015,Diciembre,Japón,Tokio,Extranjero,N/A,Asia,Femenino,21 - 45 años,Cultural,N/A,Otro,Japones,Hostal,N/A,Terrestre público,N/A
1093,12/24/2015,Diciembre,Inglaterra,York,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Inglés,N/A,Hostal,N/A,Terrestre público,N/A
1094,12/24/2015,Diciembre,Francia,Toulouse,Extranjero,N/A,Europa,Masculino,Más de 45 años,Turismo rural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1095,12/26/2015,Diciembre,Reino unido,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Inglés,N/A,Hotel,N/A,Terrestre público,N/A
1096,12/26/2015,Diciembre,Colombia,Cajamarca,Nacional,Centro,N/A,Masculino,Más de 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1097,12/26/2015,Diciembre,Colombia,Cajamarca,Nacional,Centro,N/A,Femenino,Más de 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1098,12/26/2015,Diciembre,Colombia,Cajamarca,Nacional,Centro,N/A,Femenino,Más de 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1099,12/26/2015,Diciembre,Alemania,Berlin,Extranjero,N/A,Europa,Femenino,Más de 45 años,Turismo rural,N/A,Alemán,N/A,Hostal,N/A,Terrestre público,N/A
1100,12/26/2015,Diciembre,España,Barcelona,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Terrestre público,N/A
1101,12/26/2015,Diciembre,Italia,Venecia,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Italiano,N/A,Hostal,N/A,Terrestre público,N/A
1102,12/26/2015,Diciembre,Brasil,Sao Paulo,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Portugues,N/A,Vivienda familiar o amigos,N/A,Aéreo,N/A
1103,12/26/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1104,12/26/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Femenino,21 - 45 años,Turismo rural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1105,12/28/2015,Diciembre,Argentina,No responde,Extranjero,N/A,America Latina,Femenino,0 - 20 Años,Turismo rural,N/A,Español,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1106,12/28/2015,Diciembre,Francia,Paris,Extranjero,N/A,Europa,Femenino,0 - 20 Años,Turismo rural,N/A,Francés,N/A,Otra,Solo esta de paso,Terrestre público,N/A
1107,12/28/2015,Diciembre,Colombia,Pasto,Nacional,Sur,N/A,Masculino,Más de 45 años,Cultural,N/A,Español,N/A,Hostal,N/A,Aéreo,N/A
1108,12/28/2015,Diciembre,Francia,Toulouse,Extranjero,N/A,Europa,Femenino,21 - 45 años,Turismo rural,N/A,Francés,N/A,Hotel,N/A,Terrestre público,N/A
1109,12/28/2015,Diciembre,Alemania,Bonn,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Alemán,N/A,Hostal,N/A,Aéreo,N/A
1110,12/28/2015,Diciembre,Paises bajos,No responde,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Otro,Neerlandés,Hostal,N/A,Aéreo,N/A
1111,12/28/2015,Diciembre,USA,No responde,Extranjero,N/A,Norteamerica,Femenino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,N/A
1112,12/28/2015,Diciembre,Canada,Toronto,Extranjero,N/A,Norteamerica,Masculino,Más de 45 años,Cultural,N/A,Inglés,N/A,Hotel,N/A,Aéreo,N/A
1113,12/28/2015,Diciembre,Colombia,Manizales,Nacional,Centro,N/A,Masculino,21 - 45 años,Cultural,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1114,12/28/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1115,12/28/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1116,12/28/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,0 - 20 Años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1117,12/28/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1118,12/28/2015,Diciembre,Noruega,Oslo,Extranjero,N/A,Europa,Femenino,21 - 45 años,Cultural,N/A,Otro,Noruego,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1119,12/28/2015,Diciembre,Ecuador,No responde,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1120,12/30/2015,Diciembre,Francia,No responde,Extranjero,N/A,Europa,Femenino,No responde,Turismo rural,N/A,Francés,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1121,12/30/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,No responde,Turismo rural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1122,12/30/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Femenino,No responde,Turismo rural,N/A,Español,N/A,Otra,N/A,Terrestre público,N/A
1123,12/30/2015,Diciembre,Francia,No responde,Extranjero,N/A,Europa,Masculino,No responde,Turismo rural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1124,12/30/2015,Diciembre,Alemania,Berlin,Extranjero,N/A,Europa,Masculino,21 - 45 años,Turismo rural,N/A,Alemán,N/A,Hostal,N/A,Terrestre público,N/A
1125,12/30/2015,Diciembre,Ecuador,Quito,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Negocios,N/A,Español,N/A,Hotel,N/A,Terrestre particular,N/A
1126,12/30/2015,Diciembre,España,Valencia,Extranjero,N/A,Europa,Femenino,No responde,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
1127,12/30/2015,Diciembre,Suiza,No responde,Extranjero,N/A,Europa,Masculino,No responde,Cultural,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1128,12/30/2015,Diciembre,Inglaterra,Londres,Extranjero,N/A,Europa,Masculino,No responde,Cultural,N/A,Inglés,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1129,12/30/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1130,12/30/2015,Diciembre,Polonia,No responde,Extranjero,N/A,Europa,Femenino,No responde,Cultural,N/A,Otro,Polaco,Hostal,N/A,Terrestre público,N/A
1131,12/30/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,No responde,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1132,12/30/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1133,12/29/2015,Diciembre,Francia,No responde,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hotel,N/A,Terrestre público,N/A
1134,12/29/2015,Diciembre,Francia,Paris,Extranjero,N/A,Europa,Masculino,Más de 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1135,12/29/2015,Diciembre,Francia,Paris,Extranjero,N/A,Europa,Femenino,Más de 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1136,12/29/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1137,12/29/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Masculino,21 - 45 años,Recreacional o vacacional,N/A,Español,N/A,Vivienda familiar o amigos,N/A,Terrestre público,N/A
1138,12/29/2015,Diciembre,Colombia,Cali,Local,Occidente,N/A,Masculino,21 - 45 años,Turismo rural,N/A,Español,N/A,Reside,N/A,Reside,Reside
1139,12/29/2015,Diciembre,Francia,Toulouse,Extranjero,N/A,Europa,Masculino,21 - 45 años,Cultural,N/A,Francés,N/A,Hostal,N/A,Terrestre público,N/A
1140,12/29/2015,Diciembre,Panama,Panama,Extranjero,N/A,America Latina,Femenino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1141,12/29/2015,Diciembre,Panama,No responde,Extranjero,N/A,America Latina,Masculino,Más de 45 años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Aéreo,N/A
1142,12/29/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,0 - 20 Años,Recreacional o vacacional,N/A,Español,N/A,Hotel,N/A,Terrestre particular,N/A
1143,12/29/2015,Diciembre,Suiza,Zurich,Extranjero,N/A,Europa,Femenino,Más de 45 años,Recreacional o vacacional,N/A,Inglés,N/A,Hotel,N/A,Aéreo,N/A
1144,12/29/2015,Diciembre,Colombia,Bogota,Nacional,Centro,N/A,Femenino,Más de 45 años,Cultural,N/A,Español,N/A,Vivienda turistica,N/A,Aéreo,N/A
1145,12/29/2015,Diciembre,México,Ciudad de México,Extranjero,N/A,America Latina,Masculino,21 - 45 años,Cultural,N/A,Español,N/A,Hotel,N/A,Terrestre público,N/A
